127.0.0.1 - - [26/May/2017:11:43:33 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/May/2017:11:43:36 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [26/May/2017:11:43:36 +0800] "GET /bootstrap/3.3.7/css/bootstrap.min.css HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [26/May/2017:11:43:36 +0800] "GET /bootstrap/3.3.7/js/bootstrap.min.js HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [26/May/2017:14:38:43 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [26/May/2017:14:38:43 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [26/May/2017:14:38:43 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [26/May/2017:14:43:16 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [26/May/2017:14:55:19 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [26/May/2017:14:55:19 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [26/May/2017:14:55:19 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [26/May/2017:14:55:19 +0800] "GET /gg_shop/img.jpg HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [26/May/2017:14:55:57 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [26/May/2017:14:55:57 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [26/May/2017:14:55:57 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [26/May/2017:14:55:57 +0800] "GET /gg_shop/img/welcome.jpg HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [26/May/2017:14:56:47 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [26/May/2017:14:56:47 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [26/May/2017:14:56:47 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [26/May/2017:14:56:47 +0800] "GET /gg_shop/welcome.jpg HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [26/May/2017:14:57:22 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [26/May/2017:14:57:22 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [26/May/2017:14:57:22 +0800] "GET /gg_shop/img/welcome.jpg HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [26/May/2017:14:57:22 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [26/May/2017:15:00:16 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [26/May/2017:15:00:16 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [26/May/2017:15:00:16 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [26/May/2017:15:00:16 +0800] "GET /img/welcome.jpg HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [26/May/2017:15:03:23 +0800] "GET /gg_shop/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:15:03:23 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [26/May/2017:15:03:23 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [26/May/2017:15:03:23 +0800] "GET /img/welcome.jpg HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [26/May/2017:15:03:23 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [26/May/2017:15:03:40 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [26/May/2017:15:03:40 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [26/May/2017:15:03:40 +0800] "GET /img/welcome.jpg HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [26/May/2017:15:04:24 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [26/May/2017:15:04:24 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [26/May/2017:15:04:24 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [26/May/2017:15:04:24 +0800] "GET /gg_shop/img/welcome.jpg HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [26/May/2017:15:08:28 +0800] "GET /gg_shop/test.html HTTP/1.1" 304 -
